pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,classe
0,1,1,0,-1,0,0,0,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.872259
0,1,1,0,-1,-1,1,0,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.874361
0,1,1,0,-1,-1,1,1,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.875587
-1,0,1,-1,1,0,0,0,0,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.889420
-1,-1,1,-1,1,1,0,1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.892972
1,0,-1,0,0,0,-1,1,0,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.908374
1,1,-1,0,0,0,-1,1,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.910383
0,1,-1,1,1,0,0,-1,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:37.926431
1,1,-1,1,1,0,0,-1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.927694
1,0,0,1,1,0,0,-1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.941802
1,0,1,1,1,-1,0,-1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.943664
1,-1,0,1,1,0,0,-1,0,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.957927
-1,0,0,0,1,0,1,0,0,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.971436
-1,0,0,0,1,0,1,-1,0,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.972986
-1,1,-1,-1,1,1,1,-1,1,Empate,KNN,Tem jogo,2026-04-20T15:59:37.976966
0,-1,-1,-1,1,1,1,-1,1,Tem jogo,KNN,X venceu,2026-04-20T15:59:37.994145
-1,-1,0,1,-1,0,1,0,1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.009879
1,0,0,1,0,1,0,-1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.039063
0,0,-1,0,0,0,1,1,0,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.052461
1,1,-1,0,-1,0,0,0,1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.071553
-1,1,1,0,0,0,0,0,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.087873
-1,1,1,1,0,0,-1,0,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.090060
1,0,1,-1,1,0,1,-1,-1,X venceu,KNN,Tem jogo,2026-04-20T15:59:38.106796
1,1,-1,-1,1,1,1,-1,-1,Empate,KNN,Tem jogo,2026-04-20T15:59:38.139233
1,0,0,0,0,-1,0,1,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.168547
1,0,1,-1,1,-1,0,1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.171276
1,-1,1,-1,1,-1,0,1,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.172411
1,0,-1,1,0,1,0,0,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.187410
-1,1,-1,1,1,-1,-1,0,1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.205707
1,0,1,0,-1,0,-1,0,1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.221029
-1,1,1,0,1,0,0,-1,0,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.236684
-1,1,1,0,1,-1,0,-1,0,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.237870
0,0,1,1,-1,0,0,0,0,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.281389
0,0,1,1,-1,0,0,0,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.282781
-1,1,-1,-1,1,1,1,-1,1,Empate,KNN,Tem jogo,2026-04-20T15:59:38.304723
0,0,1,0,-1,-1,1,1,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.320475
0,0,1,1,-1,-1,1,1,-1,Tem jogo,KNN,O venceu,2026-04-20T15:59:38.321688
1,0,1,-1,1,-1,0,0,-1,Tem jogo,KNN,X venceu,2026-04-20T15:59:38.337962
